trial_number,value,state,datetime_start,datetime_complete,duration,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki
81,54.830570220947266,1,2025-07-14 09:51:23.487843,2025-07-14 09:51:23.518075,0.030232,169.84389715651363,19.244637036294165,237.51508263438234,0.3714737051283408,1626.5269496129956,197.14064106641936,0.08296648702020207,0.20985529117314847
82,54.82682800292969,1,2025-07-14 09:51:23.519078,2025-07-14 09:51:23.549281,0.030203,169.97691166776585,19.333942135107012,237.52780468399328,0.3717548138183061,1620.2838721658998,196.4838547720512,0.08106545109603383,0.21056021838610162
83,54.825660705566406,1,2025-07-14 09:51:23.549281,2025-07-14 09:51:23.580082,0.030801,169.55687619612112,19.285759632726837,236.56857310113418,0.37054857614857156,1608.2733719158834,196.6571583115285,0.08289968955350197,0.20812567237498608
84,54.23122024536133,1,2025-07-14 09:51:23.581087,2025-07-14 09:51:23.610248,0.029161,169.10222692840813,19.26527107920545,246.13949435861358,0.3912579586266972,1609.961799045418,196.5370745315269,0.07723145759043631,0.22858107816498896
85,54.195472717285156,1,2025-07-14 09:51:23.611251,2025-07-14 09:51:23.640503,0.029252,165.0981424526647,19.628572626392717,237.60782234057018,0.3858919117024475,1626.693304531391,199.13169510912724,0.09546085794011866,0.20011220743028382
86,53.898250579833984,1,2025-07-14 09:51:23.641504,2025-07-14 09:51:23.671772,0.030268,166.6123071419924,18.84825252181494,240.5123386860457,0.3542592919704853,1603.9196912718064,192.59393895988083,0.05075170413301344,0.20989752941255907
87,54.290245056152344,1,2025-07-14 09:51:23.671772,2025-07-14 09:51:23.700921,0.029149,167.91525627757747,17.70673342900535,234.70602923288632,0.4034837212166548,1620.0689603157537,196.99947422479323,0.10200084625226385,0.22155113936628665
88,54.82414627075195,1,2025-07-14 09:51:23.701924,2025-07-14 09:51:23.731426,0.029502,169.77647379069944,19.95562811923166,236.10426877458787,0.37450448191280683,1600.2657805157462,195.24335447090638,0.08990170359028143,0.1910533390913955
89,54.42319869995117,1,2025-07-14 09:51:23.732430,2025-07-14 09:51:23.762096,0.029666,168.4405922106732,18.610013865777457,238.09509197150427,0.3655622584651707,1612.0112365453574,202.4212367706409,0.07758659943715054,0.24118021878831902
90,55.08672332763672,1,2025-07-14 09:51:23.763100,2025-07-14 09:51:23.792715,0.029615,170.5722210867379,19.32237792448261,244.1703102229231,0.3604432414481496,1639.8668638031736,191.27122512672975,0.06932350499727573,0.17350833053856188
91,54.9586181640625,1,2025-07-14 09:51:23.793714,2025-07-14 09:51:23.822945,0.029231,170.22707938935065,19.317681349422454,244.51031104393047,0.3506402224524771,1639.6039199882787,191.71670047195974,0.06891231149225299,0.18122444724848613
92,54.830684661865234,1,2025-07-14 09:51:23.824455,2025-07-14 09:51:23.854133,0.029678,170.4784039236455,18.740696982407844,243.2730627586227,0.35012850310085036,1639.2176730341364,190.40849902475443,0.0693094969220428,0.19170631831956061
93,54.17868423461914,1,2025-07-14 09:51:23.854636,2025-07-14 09:51:23.884477,0.029841,171.01713417612095,17.99268194911387,248.8781384190063,0.35033207386964316,1640.464559728383,186.11101180193802,0.06809940320161653,0.1750478276969782
94,54.53963088989258,1,2025-07-14 09:51:23.884477,2025-07-14 09:51:23.915196,0.030719,171.87871365186936,18.7846558580351,244.44385587947343,0.34027205650143144,1647.1735587089636,191.4227558029664,0.0621796203327944,0.16566401955583557
95,53.763702392578125,1,2025-07-14 09:51:23.915702,2025-07-14 09:51:23.945959,0.030257,166.4302946589322,18.21489787077467,244.3961598201515,0.35945183110557327,1628.389934148754,189.9619471517934,0.07107201263709186,0.17828634231335183
96,55.06640625,1,2025-07-14 09:51:23.945959,2025-07-14 09:51:23.976790,0.030831,170.54467062692137,17.59039192677401,245.79513682203924,0.35432921874636203,1636.0124533637659,190.9683288326646,0.05574582556311637,0.19157496982930333
97,53.909278869628906,1,2025-07-14 09:51:23.976790,2025-07-14 09:51:24.006437,0.029647,172.7727056047194,17.671932922013628,246.35239662251598,0.34759920710311354,1634.7757431499272,185.44594046922734,0.054746668587873665,0.19330588992322165
98,54.94499969482422,1,2025-07-14 09:51:24.006437,2025-07-14 09:51:24.037176,0.030739,170.7851606445814,17.365848873976674,249.0371057113157,0.352620040857371,1641.348211949526,190.58830468511562,0.056405979234771815,0.1822946546250459
99,53.7299919128418,1,2025-07-14 09:51:24.037176,2025-07-14 09:51:24.067420,0.030244,167.87500971201814,17.217307433917107,249.3353004525951,0.3557175809740563,1649.311493109516,187.40303541935484,0.05567268940800821,0.2018318018731461
100,54.51365280151367,1,2025-07-14 09:51:24.067420,2025-07-14 09:51:24.097171,0.029751,174.13322919270084,17.421177793389884,240.7259742533886,0.3354743566117003,1643.014219489027,191.82877513133514,0.057581044724561485,0.17184282501154782
101,54.87876892089844,1,2025-07-14 09:51:24.098174,2025-07-14 09:51:24.128953,0.030779,170.6244177601881,18.048538172119446,244.50727490825983,0.3527793373047078,1637.2457430005331,189.51089471043656,0.07101541297494798,0.183098473097505
102,54.16191101074219,1,2025-07-14 09:51:24.128953,2025-07-14 09:51:24.160170,0.031217,171.69863770952915,18.278816039494963,249.91020731505273,0.3628971045400112,1632.9798358622595,188.39823433943195,0.06487056173751367,0.18197821396763827
103,55.16111755371094,1,2025-07-14 09:51:24.160170,2025-07-14 09:51:24.192497,0.032327,170.62931548116913,17.68097365095084,247.89066072503815,0.34291808523567924,1636.6179445779994,200.8738313333733,0.08942764724665575,0.14779145511969144
104,54.359466552734375,1,2025-07-14 09:51:24.192497,2025-07-14 09:51:24.223243,0.030746,168.99703111010288,16.773816711255467,247.12601958098938,0.3420448490897071,1636.7812479693575,190.6537976716476,0.0921118753451975,0.14484485622897542
105,55.23318099975586,1,2025-07-14 09:51:24.224772,2025-07-14 09:51:24.253938,0.029166,171.22915986129047,17.968143360873746,245.23769411782675,0.3453497579242594,1654.8313590663577,200.96709729972974,0.07417169724154557,0.16099421516934084
106,54.56141662597656,1,2025-07-14 09:51:24.255445,2025-07-14 09:51:24.285679,0.030234,172.61042567165467,17.362593347760228,246.92585681454545,0.34498891614210486,1662.8514366276272,201.03342303448494,0.0749562553294402,0.1665240858717457
107,55.2979621887207,1,2025-07-14 09:51:24.285679,2025-07-14 09:51:24.315881,0.030202,171.27765558839167,17.708445881377383,242.4274263813444,0.3379761213753553,1652.3710606215705,199.6842397844188,0.09850199454481132,0.15029163582711277
108,55.13323974609375,1,2025-07-14 09:51:24.315881,2025-07-14 09:51:24.345552,0.029671,171.57059719199393,16.065669130538286,242.13971077203954,0.33837992529209215,1655.2147840865077,201.13770748628457,0.05888590003678881,0.1518519363568214
109,54.69926834106445,1,2025-07-14 09:51:24.347054,2025-07-14 09:51:24.376858,0.029804,173.90330701201572,16.356186497235615,242.12926763490825,0.33696398982812786,1653.7556404118002,202.2846708080821,0.06192834423816222,0.15320895629284353
110,54.741920471191406,1,2025-07-14 09:51:24.376858,2025-07-14 09:51:24.408581,0.031723,171.81627308035866,16.069581264062105,239.3129729200126,0.3402879948246194,1651.0915092286812,199.53947904036275,0.05028132401242885,0.14029248682507633
111,55.35116958618164,1,2025-07-14 09:51:24.408581,2025-07-14 09:51:24.438916,0.030335,171.11891684467253,16.931294446195945,245.125702131961,0.3461049427352746,1643.6956600389824,200.7413389181935,0.097870033198792,0.16045641535623645
112,54.8099365234375,1,2025-07-14 09:51:24.439419,2025-07-14 09:51:24.470254,0.030835,173.1321533600423,16.872522007795485,241.64439956762757,0.3342886581849626,1655.5683964075058,200.92868516919816,0.09844317310537715,0.1486263136559926
113,55.223594665527344,1,2025-07-14 09:51:24.471757,2025-07-14 09:51:24.504020,0.032263,171.24257812543448,17.695429300197127,243.2952272565379,0.3450165527063094,1645.2139147993112,202.99945692654507,0.08979489305888895,0.16116051979373888
114,54.11484146118164,1,2025-07-14 09:51:24.504020,2025-07-14 09:51:24.537861,0.033841,194.86386300069088,17.793276906874606,245.7390858609699,0.34542893301395167,1645.7117691207086,203.34606486231232,0.11628264839367103,0.12132250924376593
115,55.31475830078125,1,2025-07-14 09:51:24.538865,2025-07-14 09:51:24.570184,0.031319,171.44526035115044,15.900062800061864,247.8310665700199,0.3577986813245217,1659.7540066758143,201.84177954174862,0.09808551592287083,0.15803565244701875
116,54.87330627441406,1,2025-07-14 09:51:24.571687,2025-07-14 09:51:24.602303,0.030616,174.64249464492622,15.872037545211366,248.09096962204714,0.3575055345589109,1662.0892125833652,202.14912699472256,0.10893381305432528,0.15676142496860898
